Hour_of_Day,Avg_Energy_Cost_Per_Unit,Total_Production_kg
0,0.030057200212249433,35097.37239786986
1,0.02936261219980244,35815.75390397833
2,0.030009823877587816,35087.32121087068
3,0.030001971598499346,35184.573140072185
4,0.029584302401561274,35420.53490602109
5,0.02990414103023933,35266.80955559102
6,0.029709117119676273,35619.573760707724
7,0.029692120765743877,35368.14392145015
8,0.030000666997658444,35587.614618984764
9,0.03011137939388271,35659.00282611621
10,0.030669654800120568,34684.17087412369
11,0.030314665693569255,35214.84164624602
12,0.030372341559530634,35044.798657778956
13,0.02971957445992048,35724.51795541043
14,0.02996059999922861,35609.35253427781
15,0.030402381638607253,35216.59493402326
16,0.029901716030492055,35520.942786228494
17,0.030215626807685844,35621.39143178625
18,0.029876087920826366,35705.98414822635
19,0.030007975503353542,35237.07596901073
20,0.029704407144971728,35281.86843005749
21,0.029544155899127268,35364.16259937954
22,0.029747050346707594,35378.7048363988
23,0.029892336275251567,35007.30015243521
